Composition,Eg,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (Å),avg_Covalent radius (Å),avg_Zunger radius (Å),avg_Ionic radius (Å),avg_Crystal radius (Å),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g•K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m•K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (Å),diff_Covalent radius (Å),diff_Zunger radius (Å),diff_Ionic radius (Å),diff_Crystal radius (Å),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g•K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m•K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (Å),max_Covalent radius (Å),max_Zunger radius (Å),max_Ionic radius (Å),max_Crystal radius (Å),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g•K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m•K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (Å),min_Covalent radius (Å),min_Zunger radius (Å),min_Ionic radius (Å),min_Crystal radius (Å),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g•K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m•K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV)
Na2S,2.4,12.66666666666667,26.01517866666667,3.0,6.0,3.0,0.3333333333333333,30.66666666666666,1.533333333333333,1.366666666666667,2.133333333333333,1.533333333333333,0.9166666666666665,1.48,1.476666666666667,3.640466666666666,3.973333333333333,1.442333333333333,1.333333333333333,2.666666666666667,1.333333333333333,1.333333333333333,0.0,2.666666666666667,664.0,16.7,375.9499999999999,1010.05,1.337333333333333,1.056666666666667,2.3045,67.90666666666665,94.08966666666667,165.6666666666667,1.692,5,9.076232000000001,0,15,6,1,86,0.8,0.52,1.55,0.8,0.73,1.65,1.76,3.308,3.37,1.72,1.0,5,1,4,0,5,504,20.7,15.0,438.3000000000002,1.099,0.52,0.8804999999999998,87.16,140.731,170,1.737,16,32.066,3,16,7,1,88,1.8,1.54,2.65,1.8,1.16,2.58,2.65,5.8458,6.22,2.589,2.0,6,2,4,0,6,1000,23.6,385.95,1156.15,2.07,1.23,2.598,96.96,141.0,279,2.85,11,22.989768,3,1,1,0,2,1.0,1.02,1.1,1.0,0.43,0.93,0.89,2.5378,2.85,0.869,1.0,1,1,0,0,1,496,2.9,370.95,717.8499999999999,0.971,0.71,1.7175,9.8,0.269,109,1.113
Rb2Cd3Te4,2.3,47.33333333333333,113.1742888888889,5.0,11.33333333333333,4.222222222222221,0.4444444444444444,64.22222222222223,1.661111111111111,1.577777777777778,2.391666666666667,1.661111111111111,1.168888888888889,1.678888888888889,1.702222222222222,4.433388888888889,4.403333333333333,1.622666666666666,2.591111111111111,6.888888888888889,1.777777777777778,1.777777777777778,7.777777777777778,1.777777777777778,765.1111111111111,15.35555555555555,588.5388888888888,1120.505555555555,5.996666666666666,0.2462222222222222,10.32444444444444,72.59355555555555,46.24444444444445,144.0,1.549333333333333,15,42.1322,0,15,5,1,86,0.9500000000000002,0.8,2.43,0.9500000000000002,0.7399999999999999,1.28,1.58,2.2532,3.15,1.452,3.44,11,1,4,10,1,466,41.8,410.6,303.7999999999998,7.12,0.163,15.298,47.02,94.45,111,1.338,52,127.6,5,16,6,1,90,2.35,2.16,4.1,2.35,1.66,2.1,2.38,5.4418,5.49,2.158,4.44,12,2,4,10,2,869,47.3,722.65,1262.95,8.65,0.363,17.49,99.57,96.8,197,2.19,37,85.4678,5,1,1,0,4,1.4,1.36,1.67,1.4,0.92,0.82,0.8,3.1886,2.34,0.706,1.0,1,1,0,0,1,403,5.5,312.05,959.15,1.53,0.2,2.192,52.55,2.35,86,0.852
AgI,2.8,50.0,117.386335,5.0,14.0,6.0,0.5,80.5,1.5,1.335,1.98,1.5,1.675,2.295,1.915,4.892049999999999,5.6,2.1145,2.72,9.0,1.5,2.5,10.0,4.0,869.5,6.45,810.9000000000001,1471.15,7.715,0.2245,9.562000000000001,135.666,214.7245,195.5,2.03,6,19.03627,0,6,4,1,31,0.2000000000000002,0.01000000000000001,0.79,0.2000000000000002,0.77,0.7300000000000002,1.69,2.0797,2.319999999999999,0.4889999999999999,5.44,4,1,5,0,6,277,2.9,848.5000000000001,2028.0,5.57,0.02099999999999999,3.476000000000001,229.828,428.551,177,1.84,53,126.90447,5,17,8,1,96,1.6,1.34,2.375,1.6,2.06,2.66,2.76,5.9319,6.76,2.359,5.44,11,2,5,10,7,1008,7.9,1235.15,2485.15,10.5,0.235,11.3,250.58,429.0,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.33,1.585,1.4,1.29,1.93,1.07,3.8522,4.44,1.87,0.0,7,1,0,10,1,731,5.0,386.65,457.15,4.93,0.214,7.824,20.752,0.449,107,1.11
CdSe,1.8415,41.0,95.68549999999999,4.5,14.0,5.5,0.5,79.5,1.35,1.32,1.75,1.35,0.74,2.12,1.97,4.83985,5.109999999999999,1.977,3.22,9.0,2.0,2.0,5.0,4.0,904.5,5.5,542.0999999999999,998.1500000000001,6.720000000000001,0.275,6.443,68.63499999999999,49.42,169.5,1.81,14,33.45100000000001,1,4,3,1,19,0.4000000000000001,0.3200000000000001,0.9299999999999999,0.4000000000000001,0.36,0.8599999999999999,1.14,1.8423,1.56,0.9140000000000001,2.44,6,0,4,10,4,73,3.4,103.9,80.00000000000011,3.86,0.09,0.5019999999999998,61.86999999999999,94.75999999999999,115,1.3,48,112.411,5,16,7,1,89,1.55,1.48,2.215,1.55,0.92,2.55,2.54,5.761,5.89,2.434,4.44,12,2,4,10,6,941,7.2,594.05,1038.15,8.65,0.32,6.694,99.57,96.8,227,2.46,34,78.96,4,12,4,0,70,1.15,1.16,1.285,1.15,0.56,1.69,1.4,3.9187,4.33,1.52,2.0,6,2,0,0,2,868,3.8,490.15,958.15,4.79,0.23,6.192,37.7,2.04,112,1.16
SnSe,1.2,42.0,98.835,4.5,15.0,6.0,1.0,84.5,1.3,1.285,1.5825,1.3,0.625,2.255,2.21,5.1768,5.095,2.129,3.0,5.0,2.0,3.0,5.0,4.0,825.0,5.75,497.65,1750.65,6.05,0.2735,6.861499999999999,166.75,34.32,264.5,2.8,16,39.75,1,2,2,0,9,0.3,0.25,0.595,0.3,0.1299999999999999,0.5899999999999999,0.6600000000000001,1.1684,1.59,0.6100000000000001,2.0,2,0,2,10,4,232,3.9,15.0,1585.0,2.52,0.093,0.335,258.1,64.55999999999999,75,0.6800000000000002,50,118.71,5,16,7,1,89,1.45,1.41,1.88,1.45,0.69,2.55,2.54,5.761,5.89,2.434,4.0,6,2,4,10,6,941,7.7,505.15,2543.15,7.31,0.32,7.029,295.8,66.6,302,3.14,34,78.96,4,14,5,1,80,1.15,1.16,1.285,1.15,0.56,1.96,1.88,4.5926,4.3,1.824,2.0,4,2,2,0,2,709,3.8,490.15,958.15,4.79,0.227,6.694,37.7,2.04,227,2.46
Rb2BaNb2Se11,1.53,36.625,85.16471,4.375,11.875,5.5625,0.9375,68.125,1.4,1.35875,1.9535625,1.4,0.783125,2.11125,2.1675,5.07641875,4.991874999999999,1.9929375,2.25,5.0,1.75,2.75,0.5,4.5,810.25,12.96875,781.0125,1525.0875,4.774375,0.310625,8.660499999999999,129.07075,16.54,268.8125,2.86275,22,58.367,2,15,6,2,85,1.2,1.0,2.815,1.2,1.1,1.73,1.74,2.5724,3.55,1.728,4.0,5,1,4,4,5,538,43.5,2429.1,4057.0,7.04,0.159,24.208,644.3,56.16,640,6.718,56,137.327,6,16,7,2,89,2.35,2.16,4.1,2.35,1.66,2.55,2.54,5.761,5.89,2.434,5.0,6,2,4,4,6,941,47.3,2741.15,5015.15,8.57,0.363,26.4,682.0,58.2,726,7.57,34,78.96,4,1,1,0,4,1.15,1.16,1.285,1.15,0.56,0.82,0.8,3.1886,2.34,0.706,1.0,1,1,0,0,1,403,3.8,312.05,958.15,1.53,0.204,2.192,37.7,2.04,86,0.852
TaZrN3,1.72,26.8,62.838424,3.4,10.8,5.800000000000001,1.4,67.6,0.9900000000000001,1.008,1.447,0.9900000000000001,0.508,2.39,2.438,6.13522,5.93,2.3716,3.6,4.8,2.0,1.8,1.0,3.8,1121.4,6.86,1116.81,2116.07,4.62275,0.706,9.916239999999998,161.91568,16.055588,562.0,5.822,66,166.94116,4,11,3,1,38,0.9,0.7,2.285,0.9,0.56,1.71,1.15,3.4313,3.66,1.746,2.0,1,0,3,3,3,762,16.8,3205.9,5620.799999999999,16.59875,0.9,31.2396,740.2072,57.47402,309,3.18,73,180.9479,6,15,7,2,82,1.55,1.45,2.825,1.55,0.86,3.04,2.85,6.8834,7.3,3.066,5.0,5,2,3,3,5,1402,17.9,3269.15,5698.15,16.6,1.04,31.6,743.0,57.5,782,8.1,7,14.00674,2,4,4,1,44,0.65,0.75,0.54,0.65,0.3,1.33,1.7,3.4521,3.64,1.32,3.0,4,2,0,0,2,640,1.1,63.24999999999997,77.34999999999997,0.00125,0.14,0.3604,2.7928,0.02598,473,4.92
Ba3In2P4O16,3.87,18.16,40.86009792,2.88,13.92,6.24,0.88,76.03999999999999,0.926,0.9896,1.06824,0.926,1.078,2.8012,2.756,7.025532,6.260800000000001,2.90908,0.9952,5.12,2.0,3.12,0.8,5.04,1107.88,6.62352,239.958,564.0300000000001,1.2969152,0.75488,1.4386176,39.682976,8.790713599999998,250.8,2.6552,48,121.3276,4,14,5,1,78,1.55,1.25,2.937,1.55,1.18,2.55,2.24,4.1366,5.140000000000001,2.729,3.44,4,0,4,10,4,811,38.907,943.4,2263.0,7.30857,0.7160000000000001,7.52741,228.0901,81.57325999999999,135,1.53,56,137.327,6,16,7,1,87,2.15,1.98,3.402,2.15,1.49,3.44,3.32,8.3703,7.54,3.61,3.44,6,2,4,10,6,1314,39.7,998.15,2353.15,7.31,0.92,7.75,231.5,81.6,315,3.43,8,15.9994,2,2,2,0,9,0.6,0.73,0.465,0.6,0.31,0.89,1.08,4.2337,2.4,0.881,0.0,2,2,0,0,2,503,0.793,54.74999999999997,90.14999999999998,0.00143,0.204,0.22259,3.4099,0.02674,180,1.9
In0.2P0.2Ga0.8As0.8,1.58,32.0,72.4370122,4.0,14.0,5.600000000000001,1.0,79.0,1.235,1.234,1.573,1.235,0.7170000000000001,1.993,1.983,4.654960000000001,4.272,1.9777,3.220000000000001,4.0,2.0,2.0,1.0,3.9,767.4000000000001,6.29,631.94,1717.15,5.565000000000001,0.38,13.708,141.7469,44.4235,291.0,2.903,34,83.84423799999999,2,2,2,0,10,0.55,0.3799999999999999,0.8099999999999998,0.55,0.6299999999999999,0.4099999999999999,0.69,1.004799999999999,2.52,0.5970000000000002,0.4399999999999999,2,0,2,10,3,454,6.1,787.2,2123.0,5.489999999999999,0.54,27.043,246.571,81.365,72,0.9100000000000001,49,114.818,5,15,7,1,84,1.55,1.44,2.05,1.55,0.94,2.19,2.32,5.172,5.62,2.253,3.44,5,2,3,10,5,1012,9.7,1090.15,2676.15,7.31,0.77,27.7,258.7,81.6,315,3.43,15,30.973762,3,13,5,1,74,1.0,1.06,1.24,1.0,0.31,1.78,1.63,4.1672,3.1,1.656,3.0,3,2,1,0,2,558,3.6,302.95,553.15,1.82,0.23,0.657,12.129,0.235,243,2.52
RbTa3Te2O12,3.88,25.33333333333333,59.75023888888889,3.166666666666667,13.33333333333333,6.055555555555555,1.111111111111111,76.22222222222223,0.9277777777777778,0.981111111111111,1.188333333333333,0.9277777777777778,1.152222222222222,2.822222222222222,2.845555555555555,7.457622222222222,6.451666666666666,2.909,1.111111111111111,5.555555555555555,1.944444444444444,3.111111111111111,1.611111111111111,4.611111111111111,1121.777777777778,5.950888888888887,678.9888888888889,1203.405555555555,3.545953333333333,0.6790555555555555,7.480171111111111,135.9574888888889,13.09560444444444,323.0,3.387333333333333,65,164.9485,4,15,6,2,86,1.75,1.43,3.635,1.75,0.8799999999999999,2.62,2.52,5.1817,5.2,2.904,5.0,5,1,4,10,5,911,46.507,3214.4,5608.0,16.59857,0.78,31.37741,739.5901,58.17326000000001,696,7.247999999999999,73,180.9479,6,16,7,2,90,2.35,2.16,4.1,2.35,1.66,3.44,3.32,8.3703,7.54,3.61,5.0,6,2,4,10,6,1314,47.3,3269.15,5698.15,16.6,0.92,31.6,743.0,58.2,782,8.1,8,15.9994,2,1,1,0,4,0.6,0.73,0.465,0.6,0.78,0.82,0.8,3.1886,2.34,0.706,0.0,1,1,0,0,1,403,0.793,54.74999999999997,90.14999999999998,0.00143,0.14,0.22259,3.4099,0.02674,86,0.852
GaTe,1.797,41.5,98.66149999999999,4.5,14.5,5.5,1.0,82.0,1.35,1.31,1.6825,1.35,0.935,1.955,2.04,4.8045,4.345000000000001,1.957,2.72,4.5,2.0,2.5,5.0,2.5,724.0,6.8,512.8,1969.55,6.07,0.285,11.54,155.625,21.475,241.5,2.5,21,57.877,1,3,1,0,16,0.09999999999999987,0.1000000000000001,0.02500000000000013,0.09999999999999987,0.3500000000000001,0.29,0.6799999999999999,1.2746,2.29,0.4019999999999999,1.44,3,0,3,10,1,290,2.6,419.7,1413.2,0.3399999999999999,0.17,11.9,206.15,38.25,89,0.6200000000000001,52,127.6,5,16,6,1,90,1.4,1.36,1.695,1.4,1.11,2.1,2.38,5.4418,5.49,2.158,3.44,6,2,4,10,3,869,8.1,722.65,2676.15,6.24,0.37,17.49,258.7,40.6,286,2.81,31,69.723,4,13,5,1,74,1.3,1.26,1.67,1.3,0.76,1.81,1.7,4.1672,3.2,1.756,2.0,3,2,1,0,2,579,5.5,302.95,1262.95,5.9,0.2,5.59,52.55,2.35,197,2.19
ZnO,3.512,19.0,40.6947,3.0,14.0,5.5,1.5,78.0,0.9750000000000001,0.99,1.1725,0.9750000000000001,0.975,2.545,2.38,6.0609,5.995,2.6,2.22,9.0,2.0,2.0,5.0,4.0,1110.0,3.5965,373.75,634.6500000000001,3.565715,0.655,3.772295,59.35495,58.01337,190.0,1.985,22,49.3906,2,4,3,1,18,0.7500000000000001,0.52,1.415,0.7500000000000001,0.47,1.79,1.88,4.6188,3.09,2.02,4.44,6,0,4,10,4,408,5.607,638.0,1089.0,7.12857,0.53,7.09941,111.8901,115.97326,118,1.27,30,65.39,4,16,7,2,87,1.35,1.25,1.88,1.35,1.21,3.44,3.32,8.3703,7.54,3.61,4.44,12,2,4,10,6,1314,6.4,692.75,1179.15,7.13,0.92,7.322,115.3,116.0,249,2.62,8,15.9994,2,12,4,1,69,0.6,0.73,0.465,0.6,0.74,1.65,1.44,3.7515,4.45,1.59,0.0,6,2,0,0,2,906,0.793,54.74999999999997,90.14999999999998,0.00143,0.39,0.22259,3.4099,0.02674,131,1.35
Ag2SnS3,1.43,32.0,71.77406666666667,4.0,14.0,5.666666666666666,0.6666666666666666,79.0,1.275,1.191666666666667,1.655,1.275,0.7599999999999999,2.26,1.995,4.972399999999999,5.306666666666667,2.221833333333334,3.48,7.333333333333333,1.666666666666667,2.333333333333333,5.0,3.666666666666667,861.8333333333333,5.366666666666666,688.8833333333333,1611.166666666667,5.753333333333334,0.4711666666666666,5.796916666666666,137.7266666666667,154.2345,284.5,2.931666666666667,34,86.64399999999999,2,5,3,1,23,0.6000000000000001,0.3899999999999999,1.275,0.6000000000000001,0.8600000000000001,0.6500000000000001,1.58,1.9936,1.92,0.7649999999999999,3.44,7,1,4,10,5,291,5.0,849.2,1825.3,8.43,0.483,9.582500000000001,286.0,428.731,23,0.29,50,118.71,5,16,7,1,88,1.6,1.41,2.375,1.6,1.29,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1000,7.9,1235.15,2543.15,10.5,0.71,11.3,295.8,429.0,302,3.14,16,32.066,3,11,4,0,65,1.0,1.02,1.1,1.0,0.43,1.93,1.07,3.8522,4.3,1.824,2.0,4,1,0,0,1,709,2.9,385.95,717.8499999999999,2.07,0.227,1.7175,9.8,0.269,279,2.85
SnSe,1.3,42.0,98.835,4.5,15.0,6.0,1.0,84.5,1.3,1.285,1.5825,1.3,0.625,2.255,2.21,5.1768,5.095,2.129,3.0,5.0,2.0,3.0,5.0,4.0,825.0,5.75,497.65,1750.65,6.05,0.2735,6.861499999999999,166.75,34.32,264.5,2.8,16,39.75,1,2,2,0,9,0.3,0.25,0.595,0.3,0.1299999999999999,0.5899999999999999,0.6600000000000001,1.1684,1.59,0.6100000000000001,2.0,2,0,2,10,4,232,3.9,15.0,1585.0,2.52,0.093,0.335,258.1,64.55999999999999,75,0.6800000000000002,50,118.71,5,16,7,1,89,1.45,1.41,1.88,1.45,0.69,2.55,2.54,5.761,5.89,2.434,4.0,6,2,4,10,6,941,7.7,505.15,2543.15,7.31,0.32,7.029,295.8,66.6,302,3.14,34,78.96,4,14,5,1,80,1.15,1.16,1.285,1.15,0.56,1.96,1.88,4.5926,4.3,1.824,2.0,4,2,2,0,2,709,3.8,490.15,958.15,4.79,0.227,6.694,37.7,2.04,227,2.46
Ba2GaErTe5,1.15,52.33333333333333,127.7374444444444,5.222222222222221,11.11111111111111,4.666666666666667,1.0,64.11111111111111,1.594444444444445,1.51,2.275444444444444,1.594444444444445,1.146666666666667,1.703333333333333,1.884444444444444,5.109211111111111,4.283333333333333,1.710888888888889,2.271111111111111,4.444444444444445,2.0,2.333333333333333,5.555555555555555,2.111111111111111,724.3333333333333,15.3,857.1833333333334,1773.15,5.907777777777778,0.2164444444444444,14.27111111111111,118.4944444444444,11.49444444444444,216.4444444444445,2.316666666666667,37,97.53699999999999,2,14,4,3,81,0.8499999999999999,0.72,1.96,0.8499999999999999,0.73,1.21,1.3,1.4997,3.09,1.277,1.44,4,0,4,10,1,366,34.2,1499.2,1878.2,5.57,0.2,14.31,208.45,38.25,137,1.39,68,167.26,6,16,6,3,90,2.15,1.98,3.63,2.15,1.49,2.1,2.38,5.6669,5.49,2.158,3.44,6,2,4,10,3,869,39.7,1802.15,3141.15,9.07,0.37,19.9,261.0,40.6,317,3.29,31,69.723,4,2,2,0,9,1.3,1.26,1.67,1.3,0.76,0.89,1.08,4.1672,2.4,0.881,2.0,2,2,0,0,2,503,5.5,302.95,1262.95,3.5,0.17,5.59,52.55,2.35,180,1.9
Na3MoO4Cl,4.69,13.77777777777778,29.37328933333334,2.777777777777778,10.0,4.777777777777777,0.7777777777777777,55.33333333333333,1.138888888888889,1.092222222222222,1.504444444444444,1.138888888888889,1.197777777777778,2.43,2.318888888888889,5.721555555555555,5.656666666666666,2.376222222222222,0.9755555555555555,4.444444444444445,1.555555555555555,2.333333333333333,0.5555555555555556,3.888888888888888,964.3333333333333,9.885777777777779,488.2388888888889,994.7499999999999,1.457992222222222,0.9,4.879373333333333,101.4132888888889,62.34620666666667,233.5555555555555,2.448777777777777,34,79.9406,3,16,7,2,92,1.2,0.81,2.255,1.2,0.8799999999999999,2.51,2.43,5.8325,5.450000000000001,2.741,5.78,6,1,5,5,6,818,22.807,2835.4,4795.0,10.19857,0.98,31.77741,594.5901,140.9911,549,5.707000000000001,42,95.94,5,17,8,2,94,1.8,1.54,2.72,1.8,1.67,3.44,3.32,8.3703,8.3,3.61,5.78,7,2,5,5,7,1314,23.6,2890.15,4885.15,10.2,1.23,32.0,598.0,141.0,658,6.82,8,15.9994,2,1,1,0,2,0.6,0.73,0.465,0.6,0.79,0.93,0.89,2.5378,2.85,0.869,0.0,1,1,0,0,1,496,0.793,54.74999999999997,90.14999999999998,0.00143,0.25,0.22259,3.4099,0.0089,109,1.113
K2Hg3Sn2S8,2.5,33.73333333333333,78.26097333333334,4.0,12.93333333333333,5.333333333333334,1.066666666666667,72.19999999999999,1.32,1.300666666666667,1.811333333333333,1.32,0.69,2.146666666666667,2.068666666666667,5.751246666666667,5.195333333333333,2.073866666666667,2.621333333333333,6.266666666666667,1.866666666666667,2.4,3.333333333333333,4.0,885.1333333333333,9.44,364.8966666666666,985.7233333333334,4.893333333333334,0.5367333333333333,2.6234,67.1618,24.3448,213.2666666666667,2.1972,64,168.524,3,15,6,2,85,1.2,1.01,2.59,1.2,1.09,1.76,1.85,5.4587,3.8,1.855,3.44,11,1,4,10,5,588,40.5,270.9,1913.0,12.64,0.611,5.3115,286.0,102.131,241,2.47,80,200.59,6,16,7,2,88,2.2,2.03,3.69,2.2,1.52,2.58,2.65,8.2469,6.22,2.589,4.44,12,2,4,10,6,1007,43.4,505.15,2543.15,13.5,0.75,7.029,295.8,102.4,302,3.14,16,32.066,3,1,1,0,3,1.0,1.02,1.1,1.0,0.43,0.82,0.8,2.7882,2.42,0.734,1.0,1,1,0,0,1,419,2.9,234.25,630.15,0.86,0.139,1.7175,9.8,0.269,61,0.67
CdSb,0.57,49.5,117.0855,5.0,13.5,5.0,0.5,77.5,1.5,1.44,1.99,1.5,0.91,1.87,1.77,4.457,4.59,1.752,3.72,8.5,2.0,1.5,10.0,2.0,851.0,6.9,749.0999999999999,1630.65,7.67,0.22,13.031,88.35499999999999,60.55,187.0,1.955,3,9.349000000000004,0,3,2,1,15,0.1000000000000001,0.08000000000000007,0.45,0.1000000000000001,0.02000000000000002,0.3599999999999999,0.7400000000000002,1.0766,0.5199999999999996,0.464,1.44,7,0,3,0,0,34,0.6000000000000005,310.1,1185.0,1.96,0.02000000000000002,13.678,22.42999999999999,72.5,150,1.59,51,121.76,5,15,6,1,85,1.55,1.48,2.215,1.55,0.92,2.05,2.14,4.9953,4.85,1.984,4.44,12,2,3,10,2,868,7.2,904.15,2223.15,8.65,0.23,19.87,99.57,96.8,262,2.75,48,112.411,5,12,4,0,70,1.45,1.4,1.765,1.45,0.9,1.69,1.4,3.9187,4.33,1.52,3.0,5,2,0,10,2,834,6.6,594.05,1038.15,6.69,0.21,6.192,77.14,24.3,112,1.16
GeSe,1.22,33.0,75.785,4.0,15.0,6.5,1.0,84.0,1.2,1.19,1.4225,1.2,0.545,2.28,2.265,5.2008,5.244999999999999,2.214,3.0,5.0,2.0,3.0,0.0,5.0,851.5,4.949999999999999,855.3499999999999,2030.65,5.055,0.32,21.817,184.3,30.97,302.0,3.155,2,6.349999999999994,0,2,1,0,10,0.1000000000000001,0.06000000000000005,0.2750000000000001,0.1000000000000001,0.03000000000000003,0.54,0.55,1.1204,1.29,0.4400000000000002,2.0,2,0,2,0,2,179,2.3,730.4,2145.0,0.5300000000000002,0.0,30.246,293.2,57.86,150,1.39,34,78.96,4,16,7,1,89,1.25,1.22,1.56,1.25,0.56,2.55,2.54,5.761,5.89,2.434,4.0,6,2,4,0,6,941,6.1,1220.55,3103.15,5.32,0.32,36.94,330.9,59.9,377,3.85,32,72.61,4,14,6,1,79,1.15,1.16,1.285,1.15,0.53,2.01,1.99,4.6406,4.6,1.994,2.0,4,2,2,0,4,762,3.8,490.15,958.15,4.79,0.32,6.694,37.7,2.04,227,2.46
HfS3,2.85,30.0,68.672,3.75,13.0,6.25,1.25,77.25,1.1375,1.125,1.5525,1.1375,0.535,2.26,2.42,5.97695,5.615,2.23175,2.5,5.5,2.0,3.0,0.5,5.0,914.75,6.225,914.5,1756.675,4.8775,0.5675,7.303125,151.1,5.95175,364.0,3.7475,56,146.424,3,12,3,1,43,0.55,0.4199999999999999,1.81,0.55,0.42,1.28,0.9199999999999999,0.5246000000000004,2.42,1.429,2.0,2,0,4,2,4,341,13.3,2114.2,4155.299999999999,11.23,0.57,22.3425,565.2,22.731,340,3.59,72,178.49,6,16,7,2,88,1.55,1.44,2.91,1.55,0.85,2.58,2.65,6.3704,6.22,2.589,4.0,6,2,4,2,6,1000,16.2,2500.15,4873.15,13.3,0.71,24.06,575.0,23.0,619,6.44,16,32.066,3,4,4,1,45,1.0,1.02,1.1,1.0,0.43,1.3,1.73,5.8458,3.8,1.16,2.0,4,2,0,0,2,659,2.9,385.95,717.8499999999999,2.07,0.14,1.7175,9.8,0.269,279,2.85
Ga0.9Sb0.9Hg0.1Te0.1,0.65,43.5,102.57685,4.6,14.0,5.45,1.05,79.60000000000001,1.3825,1.3395,1.761,1.3825,0.8440000000000001,1.942,1.9215,4.80756,4.1425,1.8789,3.22,4.5,2.0,2.0,5.5,2.45,729.6500000000001,7.16,591.04,2299.340000000001,6.652500000000001,0.27795,12.44625,156.71695,29.7395,259.5000000000001,2.645,49,130.867,2,4,2,1,19,0.2,0.23,0.7400000000000002,0.2,0.3500000000000001,0.29,0.8899999999999999,4.0797,2.29,0.4019999999999999,2.44,9,0,4,10,1,428,2.699999999999999,669.9,2046.0,7.6,0.231,17.575,206.15,38.25,225,2.14,80,200.59,6,16,6,2,90,1.5,1.49,2.41,1.5,1.11,2.1,2.38,8.2469,5.49,2.158,4.44,12,2,4,10,3,1007,8.1,904.15,2676.15,13.5,0.37,19.87,258.7,40.6,286,2.81,31,69.723,4,12,4,1,71,1.3,1.26,1.67,1.3,0.76,1.81,1.49,4.1672,3.2,1.756,2.0,3,2,0,0,2,579,5.4,234.25,630.15,5.9,0.139,2.295,52.55,2.35,61,0.67
